student_id,week,true_risk,lms_logins,attendance_pct,sentiment_score,submission_delay,forum_posts,video_completion,login_slope,attendance_drop,delay_variance,sentiment_decline,engagement_volatility,sudden_drop,behavioral_drift_score,risk_label,dropout_prob,cluster,cluster_label,risk_score,risk_level,top_triggers,intervention
1,1,low,17,0.91,0.59,1,6,0.84,0.0,0.0,0.0,0.0,,0,0.0,0,0.03,1,Chronic Disengagement,2.9,Low,"['Submission delay: 1 days late', 'LMS login decline (slope: 0.0)', 'Attendance drop: 0.0%']",Send a gentle engagement reminder email. Consider motivational intervention program.
1,2,low,17,0.88,0.75,1,7,0.66,0.0,0.03,0.0,-0.16,0.0,0,0.011,0,0.04,1,Chronic Disengagement,3.7,Low,"['Submission delay: 1 days late', 'Attendance drop: 3.0%', 'Behavioral drift score: 0.011']",Send a gentle engagement reminder email. Consider motivational intervention program.
1,3,low,18,0.87,0.6,1,6,0.73,0.5,0.04,0.0,-0.01,0.033,0,0.014,0,0.04,1,Chronic Disengagement,4.0,Low,"['Submission delay: 1 days late', 'Attendance drop: 4.0%', 'Behavioral drift score: 0.014']",Send a gentle engagement reminder email. Consider motivational intervention program.
1,4,low,14,0.89,0.6,1,5,0.93,-0.8,0.02,0.0,-0.01,0.105,0,0.039,0,0.05,1,Chronic Disengagement,8.5,Low,"['LMS login decline (slope: -0.8)', 'Submission delay: 1 days late', 'Behavioral drift score: 0.039']",Send a gentle engagement reminder email. Consider motivational intervention program.
1,5,low,16,0.85,0.69,0,4,0.86,-0.5,0.06,0.2,-0.1,0.092,0,0.041,0,0.03,1,Chronic Disengagement,4.9,Low,"['LMS login decline (slope: -0.5)', 'Attendance drop: 6.0%', 'Behavioral drift score: 0.041']",Send a gentle engagement reminder email. Consider motivational intervention program.
1,6,low,18,0.84,0.48,0,5,0.73,-0.057,0.07,0.267,0.11,0.09,0,0.041,0,0.04,1,Chronic Disengagement,3.3,Low,"['Attendance drop: 7.0%', 'LMS login decline (slope: -0.057)', 'Sentiment decline: 0.11']",Send a gentle engagement reminder email. Consider motivational intervention program.
1,7,low,14,0.81,0.48,1,5,0.66,-0.321,0.1,0.238,0.11,0.105,0,0.062,0,0.09,1,Chronic Disengagement,8.7,Low,"['LMS login decline (slope: -0.321)', 'Submission delay: 1 days late', 'Attendance drop: 10.0%']",Send a gentle engagement reminder email. Consider motivational intervention program.
1,8,low,16,0.8,0.44,1,2,0.56,-0.238,0.11,0.214,0.15,0.097,0,0.067,0,0.1,1,Chronic Disengagement,8.8,Low,"['LMS login decline (slope: -0.238)', 'Submission delay: 1 days late', 'Attendance drop: 11.0%']",Send a gentle engagement reminder email. Consider motivational intervention program.
2,1,medium,6,0.6,0.02,2,5,0.98,0.0,0.0,0.0,0.0,,0,0.0,1,0.06,1,Chronic Disengagement,5.7,Low,"['Submission delay: 2 days late', 'LMS login decline (slope: 0.0)', 'Attendance drop: 0.0%']",Send a gentle engagement reminder email. Consider motivational intervention program.
2,2,medium,5,0.58,-0.05,2,5,0.56,-1.0,0.02,0.0,0.07,0.129,0,0.056,1,0.09,1,Chronic Disengagement,13.3,Low,"['LMS login decline (slope: -1.0)', 'Submission delay: 2 days late', 'Behavioral drift score: 0.056']",Send a gentle engagement reminder email. Consider motivational intervention program.
2,3,medium,6,0.5,-0.24,1,3,0.87,-0.0,0.1,0.333,0.26,0.102,0,0.068,1,0.1,1,Chronic Disengagement,8.0,Low,"['Submission delay: 1 days late', 'Sentiment decline: 0.26', 'Attendance drop: 10.0%']",Send a gentle engagement reminder email. Consider motivational intervention program.
2,4,medium,5,0.45,-0.33,3,6,0.45,-0.2,0.15,0.667,0.35,0.105,0,0.104,1,0.2,3,Chronic Disengagement,17.2,Low,"['Submission delay: 3 days late', 'LMS login decline (slope: -0.2)', 'Sentiment decline: 0.35']",Send a gentle engagement reminder email. Consider motivational intervention program.
